live	函数名	未限定名	定义位置	call_like_count	功能	签名风险标记	命中位置
yes	世界树类::世界树类	世界树类	世界树类.cpp:1521	1	初始化对象实例。		世界树类.cpp:1521
yes	世界树类::初始化	初始化	世界树类.cpp:1539	1	初始化相关对象、状态或运行上下文。		世界树类.cpp:1539
yes	世界树类::初始化默认世界	初始化默认世界	世界树类.cpp:1549	1	初始化相关对象、状态或运行上下文。		世界树类.cpp:1549
yes	世界树类::取VecU只读指针	取VecU只读指针	世界树类.cpp:1573	1	按 VecU 句柄读取值池中的只读向量指针。		世界树类.cpp:1573
yes	世界树类::世界根	世界根	世界树类.cpp:1627	1	按函数名执行对应处理。		世界树类.cpp:1627
yes	世界树类::按主键解析节点	按主键解析节点	世界树类.cpp:1633	1	按主键解析基础信息世界树节点，不创建或修改节点。		世界树类.cpp:1633
yes	世界树类::按主键解析存在节点	按主键解析存在节点	世界树类.cpp:1639	1	按主键解析存在节点，不创建或修改节点。		世界树类.cpp:1639
yes	世界树类::按主键解析场景节点	按主键解析场景节点	世界树类.cpp:1645	1	按主键解析场景节点，不创建或修改节点。		世界树类.cpp:1645
yes	世界树类::按主键解析特征节点	按主键解析特征节点	世界树类.cpp:1651	1	按主键解析特征节点，不创建或修改节点。		世界树类.cpp:1651
yes	世界树类::按主键解析状态节点	按主键解析状态节点	世界树类.cpp:1657	1	按主键解析状态节点，不创建或修改节点。		世界树类.cpp:1657
yes	世界树类::按主键解析动态节点	按主键解析动态节点	世界树类.cpp:1663	1	按主键解析动态节点，不创建或修改节点。		世界树类.cpp:1663
yes	世界树类::按主键解析二次特征节点	按主键解析二次特征节点	世界树类.cpp:1669	1	按主键解析二次特征节点，不创建或修改节点。		世界树类.cpp:1669
yes	世界树类::获取父节点	获取父节点	世界树类.cpp:1675	1	读取世界树节点的父节点，不创建或修改节点。		世界树类.cpp:1675
yes	世界树类::获取子节点	获取子节点	世界树类.cpp:1681	1	读取并返回指定对象、状态或运行材料。		世界树类.cpp:1681
yes	世界树类::统计全部节点	统计全部节点	世界树类.cpp:1687	1	统计当前世界树基础信息节点总数，不返回节点集合。		世界树类.cpp:1687
yes	世界树类::基础节点属于当前世界树	基础节点属于当前世界树	世界树类.cpp:1693	1	判断基础信息节点指针是否属于当前世界树。		世界树类.cpp:1693
yes	世界树类::获取名称	获取名称	世界树类.cpp:1706	1	读取并返回指定对象、状态或运行材料。		世界树类.cpp:1706
yes	世界树类::重写世界树SQL投影	重写世界树SQL投影	世界树类.cpp:1712	1	把当前世界树本体重写到 SQL Server 查询投影。		世界树类.cpp:1712
yes	世界树类::同步SQL控制面板世界显示项	同步SQL控制面板世界显示项	世界树类.cpp:1790	1	把世界树对象节点当前态同步到 SQL 控制面板运行态显示镜像。		世界树类.cpp:1790
yes	世界树类::取或创建存在概念根	取或创建存在概念根	世界树类.cpp:1844	1	创建并返回或登记对应对象。		世界树类.cpp:1844
