"函数名"	"条目数"	"定义数"	"声明数"	"位置"
"比较"	"23"	"23"	"0"	"任务主信息类.h:80[定义];任务主信息类.h:85[定义];基础信息主信息类.h:178[定义];基础信息主信息类.h:316[定义];基础信息主信息类.h:397[定义];基础信息主信息类.h:456[定义];基础信息主信息类.h:489[定义];基础信息主信息类.h:542[定义];基础信息主信息类.h:581[定义];基础信息主信息类.h:614[定义];基础信息主信息类.h:898[定义];基础信息主信息类.h:1062[定义];方法主信息类.h:464[定义];方法主信息类.h:469[定义];特征值主信息类.h:30[定义];特征值主信息类.h:35[定义];语素主信息类.h:388[定义];语素主信息类.h:464[定义];语素主信息类.h:510[定义];语素主信息类.h:552[定义];语素主信息类.h:591[定义];需求主信息类.h:68[定义];需求主信息类.h:73[定义]"
"追加片段"	"23"	"0"	"23"	"基础信息主信息类.h:989[声明];基础信息主信息类.h:990[声明];基础信息主信息类.h:991[声明];基础信息主信息类.h:992[声明];基础信息主信息类.h:993[声明];基础信息主信息类.h:994[声明];基础信息主信息类.h:995[声明];基础信息主信息类.h:996[声明];基础信息主信息类.h:997[声明];基础信息主信息类.h:998[声明];基础信息主信息类.h:999[声明];基础信息主信息类.h:1000[声明];基础信息主信息类.h:1001[声明];基础信息主信息类.h:1002[声明];基础信息主信息类.h:1003[声明];基础信息主信息类.h:1004[声明];基础信息主信息类.h:1005[声明];基础信息主信息类.h:1006[声明];基础信息主信息类.h:1007[声明];基础信息主信息类.h:1008[声明];基础信息主信息类.h:1009[声明];基础信息主信息类.h:1010[声明];基础信息主信息类.h:1011[声明]"
"有效"	"21"	"21"	"0"	"基础信息主信息类.h:246[定义];基础信息主信息类.h:261[定义];基础数据类型.h:29[定义];基础数据类型.h:162[定义];基础数据类型.h:222[定义];基础数据类型.h:293[定义];基础数据类型.h:300[定义];基础数据类型.h:802[定义];基础数据类型.h:1349[定义];基础数据类型.h:1369[定义];基础数据类型.h:1851[定义];基础数据类型.h:1871[定义];基础数据类型.h:1885[定义];基础数据类型.h:1921[定义];方法主信息类.h:113[定义];特征类.h:87[定义];自我线程模块.impl.cpp:257[定义];需求类.h:105[定义];需求类.h:140[定义];需求类.h:219[定义];需求类.h:804[定义]"
"_写POD"	"14"	"0"	"14"	"双向链表模板_序列化.inl:32[声明];双向链表模板_序列化.inl:79[声明];双向链表模板_序列化.inl:80[声明];双向链表模板_序列化.inl:90[声明];双向链表模板_序列化.inl:99[声明];双向链表模板_序列化.inl:109[声明];双向链表模板_序列化.inl:109[声明];双向链表模板_序列化.inl:109[声明];双向链表模板_序列化.inl:109[声明];双向链表模板_序列化.inl:110[声明];双向链表模板_序列化.inl:110[声明];双向链表模板_序列化.inl:110[声明];双向链表模板_序列化.inl:114[声明];双向链表模板_序列化.inl:130[声明]"
"lk"	"14"	"0"	"14"	"双向链表模板_序列化.inl:147[声明];双向链表模板_序列化.inl:245[声明];双向链表模板_深拷贝.inl:15[声明];双向链表模板核心.h:373[声明];双向链表模板核心.h:406[声明];双向链表模板核心.h:469[声明];双向链表模板核心.h:601[声明];特征值类.h:28[声明];特征值类.h:47[声明];特征值类.h:54[声明];特征值类.h:60[声明];特征值类.h:92[声明];特征值类.h:102[声明];特征值类.h:111[声明]"
"匹配链键"	"11"	"11"	"0"	"度量模板注册表类.ixx:199[定义];度量模板注册表类.ixx:221[定义];度量模板注册表类.ixx:243[定义];度量模板注册表类.ixx:255[定义];度量模板注册表类.ixx:267[定义];度量模板注册表类.ixx:289[定义];度量模板注册表类.ixx:301[定义];度量模板注册表类.ixx:334[定义];度量模板注册表类.ixx:370[定义];度量模板注册表类.ixx:396[定义];度量模板注册表类.ixx:433[定义]"
"模板族"	"11"	"11"	"0"	"度量模板注册表类.ixx:193[定义];度量模板注册表类.ixx:215[定义];度量模板注册表类.ixx:237[定义];度量模板注册表类.ixx:249[定义];度量模板注册表类.ixx:261[定义];度量模板注册表类.ixx:283[定义];度量模板注册表类.ixx:295[定义];度量模板注册表类.ixx:317[定义];度量模板注册表类.ixx:353[定义];度量模板注册表类.ixx:379[定义];度量模板注册表类.ixx:416[定义]"
"生成链键"	"11"	"11"	"0"	"度量模板注册表类.ixx:196[定义];度量模板注册表类.ixx:218[定义];度量模板注册表类.ixx:240[定义];度量模板注册表类.ixx:252[定义];度量模板注册表类.ixx:264[定义];度量模板注册表类.ixx:286[定义];度量模板注册表类.ixx:298[定义];度量模板注册表类.ixx:328[定义];度量模板注册表类.ixx:364[定义];度量模板注册表类.ixx:390[定义];度量模板注册表类.ixx:427[定义]"
"命中比较条件"	"10"	"10"	"0"	"任务主信息类.h:107[定义];任务主信息类.h:112[定义];基础信息主信息类.h:155[定义];方法主信息类.h:499[定义];方法主信息类.h:504[定义];特征值主信息类.h:60[定义];特征值主信息类.h:65[定义];语素主信息类.h:373[定义];需求主信息类.h:97[定义];需求主信息类.h:102[定义]"
"生成比较量"	"10"	"10"	"0"	"任务主信息类.h:90[定义];任务主信息类.h:95[定义];基础信息主信息类.h:150[定义];方法主信息类.h:474[定义];方法主信息类.h:479[定义];特征值主信息类.h:50[定义];特征值主信息类.h:55[定义];语素主信息类.h:368[定义];需求主信息类.h:78[定义];需求主信息类.h:83[定义]"
"私有_确保缓存_已加锁"	"10"	"1"	"9"	"特征值类.h:48[声明];特征值类.h:55[声明];特征值类.h:61[声明];特征值类.h:103[声明];特征值类.h:112[声明];特征值类.h:132[声明];特征值类.h:138[声明];特征值类.h:146[声明];特征值类.h:161[声明];特征值类.h:204[定义]"
"lock"	"9"	"0"	"9"	"双向链表模板核心.h:285[声明];双向链表模板核心.h:300[声明];双向链表模板核心.h:336[声明];双向链表模板核心.h:351[声明];双向链表模板核心.h:489[声明];双向链表模板核心.h:496[声明];双向链表模板核心.h:543[声明];双向链表模板核心.h:570[声明];双向链表模板核心.h:590[声明]"
"operator="	"9"	"1"	"8"	"世界树类.h:56[声明];世界树类.h:58[声明];基础信息类.h:17[声明];基础信息类.h:19[声明];基础数据类型.h:172[定义];语素类.h:32[声明];语素类.h:34[声明];语言类.h:17[声明];语言类.h:19[声明]"
"IsWindow"	"7"	"7"	"0"	"控制面板WebView2.cpp:1766[定义];控制面板WebView2.cpp:1778[定义];控制面板WebView2.cpp:1804[定义];控制面板WebView2.cpp:1817[定义];控制面板WebView2.cpp:1860[定义];控制面板WebView2.cpp:1931[定义];控制面板WebView2.cpp:1941[定义]"
"基础信息_"	"7"	"7"	"0"	"二次特征类.cpp:314[定义];动态类.cpp:468[定义];因果类.cpp:1088[定义];场景类.cpp:126[定义];存在类.cpp:143[定义];特征类.cpp:515[定义];状态类.cpp:158[定义]"
"绑定基础信息"	"7"	"0"	"7"	"二次特征类.h:14[声明];动态类.h:16[声明];因果类.h:55[声明];场景类.h:9[声明];存在类.h:14[声明];特征类.h:258[声明];状态类.h:58[声明]"
"默认刻度"	"7"	"7"	"0"	"度量模板注册表类.ixx:58[定义];度量模板注册表类.ixx:202[定义];度量模板注册表类.ixx:224[定义];度量模板注册表类.ixx:270[定义];度量模板注册表类.ixx:304[定义];度量模板注册表类.ixx:340[定义];度量模板注册表类.ixx:402[定义]"
"初始化"	"6"	"2"	"4"	"世界树类.h:60[声明];基础信息类.h:21[声明];日志模块.ixx:471[定义];特征值类.h:27[定义];语素类.h:36[声明];语言类.h:21[声明]"
"删除节点_已加锁"	"6"	"2"	"4"	"双向链表模板核心.h:506[定义];双向链表模板核心.h:544[声明];双向链表模板核心.h:556[声明];双向链表模板核心.h:562[声明];双向链表模板核心.h:580[声明];需求类.h:1116[定义]"
"同步运行包语义槽"	"6"	"6"	"0"	"任务模块.运行包.impl.cpp:132[定义];任务模块.运行包.impl.cpp:139[定义];任务模块.运行包.impl.cpp:150[定义];任务模块.运行包.impl.cpp:161[定义];任务模块.运行包.impl.cpp:168[定义];任务模块.运行包.impl.cpp:181[定义]"
"私有_安全词"	"2"	"2"	"0"	"自我线程模块.impl.cpp:79[定义];语言类_存在表达.cpp:41[定义]"
"私有_比较入口指针"	"6"	"6"	"0"	"任务主信息类.h:118[定义];基础信息主信息类.h:195[定义];基础信息主信息类.h:507[定义];基础信息主信息类.h:559[定义];方法主信息类.h:518[定义];需求主信息类.h:118[定义]"
"从状态补齐目标主体和特征缓存_已加锁"	"5"	"1"	"4"	"需求类.h:948[声明];需求类.h:970[定义];需求类.h:1099[声明];需求类.h:1101[声明];需求类.h:1241[声明]"
"刷新需求及祖先结构角色"	"5"	"1"	"4"	"需求类.h:529[定义];需求类.h:1162[声明];需求类.h:1164[声明];需求类.h:1246[声明];需求类.h:1259[声明]"
"校验参数"	"5"	"5"	"0"	"度量模板注册表类.ixx:65[定义];度量模板注册表类.ixx:320[定义];度量模板注册表类.ixx:356[定义];度量模板注册表类.ixx:382[定义];度量模板注册表类.ixx:419[定义]"
"私有_解析状态引用"	"5"	"5"	"0"	"任务类.cpp:202[定义];动态类.cpp:353[定义];方法类.cpp:508[定义];状态类.cpp:76[定义];需求类.cpp:347[定义]"
"私有_追加叶字段"	"5"	"5"	"0"	"控制面板类.cpp:2581[定义];控制面板类.cpp:2590[定义];控制面板类.cpp:2599[定义];控制面板类.cpp:2608[定义];控制面板类.cpp:2617[定义]"
"绑定"	"5"	"2"	"3"	"基础数据类型.h:156[声明];基础数据类型.h:159[声明];基础数据类型.h:174[声明];基础数据类型.h:179[定义];基础数据类型.h:186[定义]"
"刷新子需求权重_已加锁"	"4"	"1"	"3"	"需求类.h:1159[声明];需求类.h:1245[声明];需求类.h:1258[声明];需求类.h:1270[定义]"
"添加词性词"	"4"	"0"	"4"	"语素类.h:51[声明];语素类.h:52[声明];语素类.h:53[声明];语素类.h:54[声明]"
"清空"	"4"	"4"	"0"	"基础数据类型.h:195[定义];基础数据类型.h:238[定义];基础数据类型.h:1360[定义];基础数据类型.h:1375[定义]"
"特征_方法状态"	"4"	"4"	"0"	"自我动作实现.外设模块.ixx:5812[定义];自我动作实现.外设模块.ixx:8343[定义];自我动作实现模块.ixx:2064[定义];自我动作实现模块.ixx:2980[定义]"
"特征_目标宿主"	"4"	"4"	"0"	"任务模块.筹办.ixx:4396[定义];自我动作实现.外设模块.ixx:2152[定义];自我动作实现.服务模块.ixx:173[定义];自我动作实现模块.ixx:1645[定义]"
"特征_目标特征类型"	"4"	"4"	"0"	"任务模块.筹办.ixx:4389[定义];自我动作实现.外设模块.ixx:1085[定义];自我动作实现.服务模块.ixx:181[定义];自我动作实现模块.ixx:571[定义]"
"特征_输入条件包"	"4"	"4"	"0"	"任务模块.筹办.ixx:4368[定义];自我动作实现.外设模块.ixx:714[定义];自我动作实现.服务模块.ixx:37[定义];自我动作实现模块.ixx:117[定义]"
"特征_输出结果场景"	"4"	"4"	"0"	"自我动作实现.外设模块.ixx:1573[定义];自我动作实现.扫描.ixx:464[定义];自我动作实现.服务模块.ixx:213[定义];自我动作实现模块.ixx:1066[定义]"
"私有_归一到任务头结点"	"3"	"3"	"0"	"任务类.cpp:243[定义];自我类.cpp:275[定义];自我线程模块.impl.cpp:3495[定义]"
"私有_特征_任务状态"	"2"	"2"	"0"	"任务模块.管理工作线程.ixx:270[定义];任务类.cpp:341[定义]"
"私有_语素入口主键相等"	"4"	"4"	"0"	"二次特征应用模块.ixx:705[定义];二次特征类.cpp:192[定义];方法类.cpp:36[定义];需求类.cpp:401[定义]"
"私有_递归释放_独立"	"4"	"1"	"3"	"双向链表模板_深拷贝.inl:32[声明];双向链表模板_深拷贝.inl:112[定义];双向链表模板_深拷贝.inl:124[声明];双向链表模板核心.h:675[声明]"
"语素类::添加词性词"	"4"	"4"	"0"	"语素类.cpp:790[定义];语素类.cpp:822[定义];语素类.cpp:829[定义];语素类.cpp:836[定义]"
"转文本"	"2"	"2"	"0"	"动作验证报告类.h:81[定义];动作验证报告类.h:104[定义]"
"mi"	"3"	"0"	"3"	"特征值类.h:104[声明];特征值类.h:114[声明];特征值类.h:164[声明]"
"operator*"	"3"	"3"	"0"	"基础数据类型.h:963[定义];基础数据类型.h:1046[定义];基础数据类型.h:1084[定义]"
"operator=="	"3"	"3"	"0"	"基础数据类型.h:304[定义];基础数据类型.h:309[定义];基础数据类型.h:546[定义]"
"世界树类"	"3"	"0"	"3"	"世界树类.h:52[声明];世界树类.h:55[声明];世界树类.h:57[声明]"
"使双目相机达到可用状态"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18194[定义];自我动作实现.外部模块.ixx:610[定义];自我动作实现模块.ixx:12221[定义]"
"保存数据"	"3"	"2"	"1"	"双向链表模板_序列化.inl:144[定义];双向链表模板核心.h:682[声明];双向链表模板核心.h:685[定义]"
"修改节点信息_已加锁"	"3"	"1"	"2"	"双向链表模板核心.h:478[定义];双向链表模板核心.h:490[声明];双向链表模板核心.h:498[声明]"
"关闭"	"3"	"3"	"0"	"D455相机类.cpp:82[定义];日志模块.ixx:382[定义];日志模块.ixx:480[定义]"
"写入I64"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:7436[定义];自我动作实现.扫描.ixx:813[定义];自我动作实现模块.ixx:2597[定义]"
"写入引用_来自指令_已加锁"	"3"	"0"	"3"	"需求类.h:776[声明];需求类.h:780[声明];需求类.h:784[声明]"
"初始化新节点_已加锁"	"3"	"1"	"2"	"双向链表模板核心.h:203[定义];双向链表模板核心.h:266[声明];双向链表模板核心.h:313[声明]"
"删除子链_已加锁"	"3"	"1"	"2"	"双向链表模板核心.h:515[声明];双向链表模板核心.h:548[定义];双向链表模板核心.h:571[声明]"
"删除链表_已加锁"	"3"	"1"	"2"	"双向链表模板_序列化.inl:225[声明];双向链表模板核心.h:575[定义];双向链表模板核心.h:591[声明]"
"可解析引用"	"3"	"2"	"1"	"基础数据类型.h:153[声明];基础数据类型.h:156[定义];基础数据类型.h:159[定义]"
"启动"	"3"	"3"	"0"	"任务模块.执行.ixx:1170[定义];动作线程类.ixx:306[定义];鱼巢.cpp:1511[定义]"
"基础信息基类"	"3"	"2"	"1"	"基础信息主信息类.h:132[声明];基础信息主信息类.h:135[定义];基础信息主信息类.h:138[定义]"
"基础信息类"	"3"	"0"	"3"	"基础信息类.h:13[声明];基础信息类.h:16[声明];基础信息类.h:18[声明]"
"安全执行降级保护"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:20743[定义];自我动作实现.外部模块.ixx:808[定义];自我动作实现模块.ixx:12437[定义]"
"安全持续观察当前场景"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:20518[定义];自我动作实现.外部模块.ixx:790[定义];自我动作实现模块.ixx:12419[定义]"
"安全搜索安全因果因素证据"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:20009[定义];自我动作实现.外部模块.ixx:1114[定义];自我动作实现模块.ixx:12554[定义]"
"安全构造场景影响因果候选"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:21420[定义];自我动作实现.外部模块.ixx:772[定义];自我动作实现模块.ixx:12401[定义]"
"安全评估当前场景安全性"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:19266[定义];自我动作实现.外部模块.ixx:754[定义];自我动作实现模块.ixx:12365[定义]"
"打开"	"3"	"2"	"1"	"D455相机类.cpp:49[定义];双目相机本能适配器.cpp:1280[定义];双目相机本能适配器.h:203[声明]"
"执行方法_同步等待"	"3"	"3"	"0"	"任务模块.执行.ixx:1195[定义];任务模块.执行.ixx:1211[定义];任务模块.执行.ixx:1228[定义]"
"抽象特征主信息类"	"3"	"3"	"0"	"基础信息主信息类.h:334[定义];基础信息主信息类.h:337[定义];基础信息主信息类.h:344[定义]"
"提交安全因果因素无负证据默认满足"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:20191[定义];自我动作实现.外部模块.ixx:1123[定义];自我动作实现模块.ixx:12563[定义]"
"提交安全因果因素证据评估值"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:20303[定义];自我动作实现.外部模块.ixx:1132[定义];自我动作实现模块.ixx:12572[定义]"
"提交当前观察范围可观测单位存在对应事实"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:23888[定义];自我动作实现.外部模块.ixx:889[定义];自我动作实现模块.ixx:12527[定义]"
"提交指定存在跟踪事实"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25259[定义];自我动作实现.外部模块.ixx:880[定义];自我动作实现模块.ixx:12518[定义]"
"提交确认内部世界子存在事实"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:26391[定义];自我动作实现.外部模块.ixx:1105[定义];自我动作实现模块.ixx:12752[定义]"
