结构体名	所在文件	行号	字段摘要	是否含文本业务字段	是否含项目结构字段	写入方	读取方	外部读取	初步分类
结构_本能方法运行闭环视图	本能动作管理类.ixx	402	bool 运行存在有效 = false; | bool 方法执行情况已读 = false; | bool 方法执行成功 = false; | bool 方法执行失败 = false; | bool 调试运行码已读 = false; | std::int64_t 调试运行码 = 本能动作运行结果_未知; | const 语素入口节点类* 方法执行情况 = nullptr; | const 语素入口节点类* 失败原因 = nullptr; | ...(+7)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_本能动作登记信息	本能动作管理类.ixx	635	本能动作函数 动作函数{}; | 方法类::节点类* 方法信息首节点 = nullptr; | std::string 函数名称{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_本能回执最小字段	本能动作类.ixx	129	bool 成功 = false; | I64 错误码 = 0; | std::string 诊断{}; | 时间戳 耗时_us = 0; | 时间戳 时间_系统 = 0; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_场景模式匹配参数	本能动作类.ixx	137	I64 I64容忍误差 = 0; | I64 歧义分差阈值 = 50; | std::function<I64(const 语素入口节点类* 类型, const 特征值& 输入值, const 特征值& 模式值)> 差值算法{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_场景模式匹配绑定	本能动作类.ixx	145	const 基础信息节点类* 模式节点 = nullptr; | 基础信息节点类* 输入节点 = nullptr; | I64 匹配分 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_场景模式匹配结果	本能动作类.ixx	151	bool 匹配成功 = false; | bool 有歧义 = false; | I64 总分 = 0; | std::vector<结构体_场景模式匹配绑定> 绑定表{}; | std::vector<const 基础信息节点类*> 未满足模式节点{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
局部结果	本能动作类.ixx	260	bool ok = true; | bool ambiguous = false; | I64 score = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
候选项	本能动作类.ixx	347	基础信息节点类* 节点 = nullptr; | I64 分数 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_默认本能方法种子	本能方法类.cpp	15	枚举_本能方法ID ID = 枚举_本能方法ID::未定义; | 枚举_本能方法分类 分类 = 枚举_本能方法分类::未定义; | const char* 动作名称 = ""; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
动态创建后处理选项	动态类.h	5	bool 生成动态二次特征 = true; | bool 生成相邻动态协同 = true; | bool 尝试连续同向聚合 = true; | bool 尝试同类事件段聚合 = true; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
动作执行上下文	动作线程类.ixx	35	世界树类* 世界树 = nullptr; | 三维场景管理类* 场景管理 = nullptr; | 任务主信息类* 任务 = nullptr; | void* 任务节点 = nullptr; | 场景节点类* 场景 = nullptr; | 场景节点类* 输入场景 = nullptr; | 场景节点类* 输出场景 = nullptr; | 存在节点类* 目标存在 = nullptr; | ...(+3)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作步骤结果	动作线程类.ixx	51	枚举_本能方法ID 动作ID = 枚举_本能方法ID::未定义; | std::int64_t 成功码 = 0; | std::int64_t 质量 = 0; | std::uint64_t 成本_us = 0; | 场景节点类* 结果存在集场景 = nullptr; | 场景节点类* 结果事件集场景 = nullptr; | std::string 备注{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作执行结果	动作线程类.ixx	65	std::uint64_t 请求ID = 0; | std::int64_t 总成功码 = 0; | 时间戳 开始_us = 0; | 时间戳 结束_us = 0; | std::vector<结构_动作步骤结果> 步骤结果{}; | return (结束_us >= 开始_us) ? (结束_us - 开始_us) : 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作执行请求	动作线程类.ixx	83	std::uint64_t 请求ID = 0; | std::vector<枚举_本能方法ID> 执行序列{}; | 场景节点类* 场景 = nullptr; | 场景节点类* 输入场景 = nullptr; | 场景节点类* 输出场景 = nullptr; | 存在节点类* 目标存在 = nullptr; | void* 任务节点 = nullptr; | void* 方法根 = nullptr; | ...(+2)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
队列项	动作线程类.ixx	104	结构_动作执行请求 请求{}; | std::promise<结构_动作执行结果> 承诺{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作验证值	动作验证报告类.h	37	bool 已设置 = false; | VecI64 值{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作验证报告	动作验证报告类.h	42	std::string 动作事务ID{}; | std::uintptr_t 来源任务指针 = 0; | std::string 来源任务主键{}; | std::uintptr_t 来源方法指针 = 0; | std::string 来源方法主键{}; | 结构_动作验证值 目标值{}; | 结构_动作验证值 预测值{}; | 结构_动作验证值 实际值{}; | ...(+9)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作验证报告摘要	动作验证报告类.h	63	bool 有报告 = false; | std::string 动作验证报告ID{}; | 枚举_动作验证状态 验证状态 = 枚举_动作验证状态::未开始; | 枚举_事实提交等级 事实提交等级 = 枚举_事实提交等级::未定义; | I64 回读置信度_Q10000 = 0; | VecI64 目标偏差{}; | VecI64 预测偏差{}; | VecI64 报告偏差{}; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作验证值	动作验证报告类.ixx	39	bool 已设置 = false; | VecI64 值{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作验证报告	动作验证报告类.ixx	44	std::string 动作事务ID{}; | std::uintptr_t 来源任务指针 = 0; | std::string 来源任务主键{}; | std::uintptr_t 来源方法指针 = 0; | std::string 来源方法主键{}; | 结构_动作验证值 目标值{}; | 结构_动作验证值 预测值{}; | 结构_动作验证值 实际值{}; | ...(+9)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动作验证报告摘要	动作验证报告类.ixx	65	bool 有报告 = false; | std::string 动作验证报告ID{}; | 枚举_动作验证状态 验证状态 = 枚举_动作验证状态::未开始; | 枚举_事实提交等级 事实提交等级 = 枚举_事实提交等级::未定义; | I64 回读置信度_Q10000 = 0; | VecI64 目标偏差{}; | VecI64 预测偏差{}; | VecI64 报告偏差{}; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_刻度片	度量模板注册表类.ixx	40	I64区间 区间{ 0, -1 }; | std::string 名称{}; | bool 是小区间 = false; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_模板参数	度量模板注册表类.ixx	46	std::string 特征类型主键{}; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_度量刻度片_桥接	度量模板注册表桥接.h	7	std::int64_t 低值 = 0; | std::int64_t 高值 = -1; | std::string 名称{}; | bool 是小区间 = false; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_二次特征索引追加阶段耗时	二次特征类.cpp	21	std::uint64_t 节点引用准备耗时微秒 = 0; | std::uint64_t 场景索引锁等待耗时微秒 = 0; | std::uint64_t 关系索引查重耗时微秒 = 0; | std::uint64_t 关系索引追加耗时微秒 = 0; | std::uint64_t 二次特征索引查重耗时微秒 = 0; | std::uint64_t 二次特征索引追加耗时微秒 = 0; | bool 关系索引已存在 = false; | bool 二次特征索引已存在 = false; | ...(+1)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_匹配配置	二次特征应用模块.ixx	109	bool 使用对象绑定 = true; | bool 条件空指针视为通配 = true; | bool 允许用概念名称弱匹配 = true; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
