文件	行号	结构体	字段行	主键类
本能线程类.ixx	39	子部件结果	std::string 部件键{};	是
动作验证报告类.h	43	结构_动作验证报告	std::string 动作事务ID{};	是
动作验证报告类.h	45	结构_动作验证报告	std::string 来源任务主键{};	是
动作验证报告类.h	47	结构_动作验证报告	std::string 来源方法主键{};	是
动作验证报告类.h	64	结构_动作验证报告摘要	std::string 动作验证报告ID{};	是
度量模板注册表类.ixx	66	结构_模板参数	std::string 特征类型主键{};	是
二次特征应用模块.ixx	389	结构_场景二次特征写入请求	std::string 度量签名_链键{};	是
二次特征应用模块.ixx	391	结构_场景二次特征写入请求	std::string 离散语义键{};	是
方法类.cpp	1072	结构_方法树SQL行	std::string 节点主键{};	是
方法类.cpp	1073	结构_方法树SQL行	std::string 父节点主键{};	是
方法类.cpp	1077	结构_方法树SQL行	std::string 路径{};	否
方法类.cpp	1079	结构_方法树SQL行	std::string 节点种类文本{};	否
方法类.cpp	1080	结构_方法树SQL行	std::string 动作名文本{};	否
方法类.cpp	1081	结构_方法树SQL行	std::string 动作句柄文本{};	是
方法类.cpp	1083	结构_方法树SQL行	std::string 来源文本{};	否
方法类.cpp	1084	结构_方法树SQL行	std::string 方法虚拟存在主键{};	是
方法类.cpp	1085	结构_方法树SQL行	std::string 条件场景主键{};	是
方法类.cpp	1086	结构_方法树SQL行	std::string 结果场景主键{};	是
方法类.cpp	1087	结构_方法树SQL行	std::string 主结果特征主键{};	是
方法主信息类.h	109	结构体_动作句柄	std::string 外部实现主键{};	是
方法主信息类.h	110	结构体_动作句柄	std::string 动作序列主键{};	是
方法主信息类.h	211	结构_方法条件节点信息	std::string 条件主键{};	是
方法主信息类.h	212	结构_方法条件节点信息	std::string 条件场景模板主键{};	是
方法主信息类.h	220	结构_方法结果节点信息	std::string 结果主键{};	是
基础数据类型.h	129	可解析引用	std::string 主键{};	是
基础数据类型.h	137	可解析引用	可解析引用(T节点* 节点, const std::string& 主键值) { 绑定(节点, 主键值); }	是
基础数据类型.h	164	可解析引用	void 绑定(T节点* 节点, const std::string& 主键值)	是
基础数据类型.h	177	可解析引用	static auto 私有_提取主键_impl(U节点* 节点, int) -> decltype(节点->获取主键(), std::string{})	是
基础数据类型.h	179	可解析引用	return 节点 ? 节点->获取主键() : std::string{};	是
基础数据类型.h	183	可解析引用	static std::string 私有_提取主键_impl(U节点*, long)	是
基础数据类型.h	189	可解析引用	static std::string 私有_提取主键(T节点* 节点)	是
基础数据类型.h	460	结构体_分词	std::string 词;	否
基础数据类型.h	465	结构体_分词	结构体_分词(std::string 词_, 枚举_词性 词性_)	否
基础数据类型.h	1213	结构_特征使用统计	std::string 特征类型主键{};	是
控制面板类.cpp	1620	结构_自我场景内容统计	std::vector<std::string> 存在样例{};	否
控制面板类.cpp	6619	结构_SQL控制面板数据	std::vector<std::string> 批次{};	否
控制面板类.cpp	6620	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 指标{};	否
控制面板类.cpp	6621	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 线程{};	否
控制面板类.cpp	6622	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 线程事件{};	否
控制面板类.cpp	6623	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 动作动态{};	否
控制面板类.cpp	6624	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 因果信息{};	否
控制面板类.cpp	6625	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 因果信息关系{};	否
控制面板类.cpp	6626	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 特征{};	否
控制面板类.cpp	6627	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 字段目录{};	否
控制面板类.cpp	6628	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 需求树{};	否
控制面板类.cpp	6629	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 任务树{};	否
控制面板类.cpp	6630	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 方法树{};	否
控制面板类.cpp	6631	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 世界树{};	否
控制面板类.cpp	6632	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 世界树关系{};	否
控制面板类.cpp	6633	结构_SQL控制面板数据	std::vector<std::vector<std::string>> 语素树{};	否
控制面板类.ixx	17	结构_控制面板树节点	std::string 文本{};	否
控制面板类.ixx	20	结构_控制面板树节点	std::string 展开类型{};	否
控制面板类.ixx	40	结构_控制面板自我场景存在复现项	std::string 标题{};	否
控制面板类.ixx	41	结构_控制面板自我场景存在复现项	std::string 类型{};	否
控制面板类.ixx	136	结构_控制面板快照	std::string 需求树首个未任务化叶子需求主键{};	是
控制面板类.ixx	137	结构_控制面板快照	std::string 需求树首个未任务化叶子需求父主键{};	是
控制面板类.ixx	138	结构_控制面板快照	std::string 需求树首个未任务化叶子需求目标主体主键{};	是
控制面板类.ixx	139	结构_控制面板快照	std::string 需求树首个未任务化叶子需求目标特征主键{};	是
控制面板类.ixx	147	结构_控制面板快照	std::string 需求树首个目标绑定异常需求主键{};	是
控制面板类.ixx	148	结构_控制面板快照	std::string 需求树首个目标绑定异常父主键{};	是
控制面板类.ixx	149	结构_控制面板快照	std::string 需求树首个目标绑定异常目标状态主键{};	是
控制面板类.ixx	150	结构_控制面板快照	std::string 需求树首个目标绑定异常目标宿主主键{};	是
控制面板类.ixx	151	结构_控制面板快照	std::string 需求树首个目标绑定异常目标特征主键{};	是
控制面板类.ixx	167	结构_控制面板快照	std::string 需求树首个完成任务仍活动需求主键{};	是
控制面板类.ixx	168	结构_控制面板快照	std::string 需求树首个完成任务仍活动任务主键{};	是
控制面板类.ixx	170	结构_控制面板快照	std::string 首个完成但缺对应需求任务主键{};	是
控制面板类.ixx	172	结构_控制面板快照	std::string 需求树当前主需求主键{};	是
控制面板类.ixx	173	结构_控制面板快照	std::string 需求树当前主需求父主键{};	是
控制面板类.ixx	174	结构_控制面板快照	std::string 需求树当前主需求目标主体主键{};	是
控制面板类.ixx	175	结构_控制面板快照	std::string 需求树当前主需求目标特征主键{};	是
控制面板类.ixx	176	结构_控制面板快照	std::string 需求树当前主需求结构形态{};	否
控制面板类.ixx	177	结构_控制面板快照	std::string 需求树当前主需求目标语义{};	否
控制面板类.ixx	179	结构_控制面板快照	std::string 需求树当前主需求OR令牌状态{};	否
控制面板类.ixx	180	结构_控制面板快照	std::string 需求树当前主需求当前激活路径{};	否
控制面板类.ixx	196	结构_控制面板快照	std::string 自我存在标题{};	否
控制面板类.ixx	197	结构_控制面板快照	std::string 当前主需求标题{};	否
控制面板类.ixx	198	结构_控制面板快照	std::string 当前主任务标题{};	否
控制面板类.ixx	199	结构_控制面板快照	std::string 当前主方法标题{};	否
控制面板类.ixx	205	结构_控制面板快照	std::string 自我所在场景标题{};	否
控制面板类.ixx	206	结构_控制面板快照	std::string 自我场景复现宿主标题{};	否
控制面板类.ixx	207	结构_控制面板快照	std::string 自我场景安全评估宿主标题{};	否
控制面板类.ixx	222	结构_控制面板快照	std::string 自我场景直接子层摘要{};	否
控制面板类.ixx	223	结构_控制面板快照	std::string 自我场景子树类型摘要{};	否
控制面板类.ixx	224	结构_控制面板快照	std::string 自我场景存在样例摘要{};	否
控制面板类.ixx	225	结构_控制面板快照	std::string 自我场景复现宿主存在样例摘要{};	否
控制面板类.ixx	371	结构_控制面板快照	std::string 自我线程当前阶段{};	否
控制面板类.ixx	372	结构_控制面板快照	std::string 自我线程当前最终去向{};	否
控制面板类.ixx	381	结构_控制面板快照	std::string 控制面板摘要_最近方法主键{};	是
控制面板类.ixx	402	结构_控制面板快照	std::string 自检报告最近处置{};	否
控制面板类.ixx	403	结构_控制面板快照	std::string 自检报告修复门控摘要{};	否
控制面板类.ixx	410	结构_控制面板快照	std::string 任务管理工作线程最近因果链状态{};	否
控制面板类.ixx	411	结构_控制面板快照	std::string 任务管理工作线程最近缺口归类{};	否
控制面板类.ixx	413	结构_控制面板快照	std::string 任务管理最近功能域{};	否
控制面板类.ixx	414	结构_控制面板快照	std::string 任务管理最近缺口类型{};	否
控制面板类.ixx	415	结构_控制面板快照	std::string 任务管理最近下一步去向{};	否
控制面板类.ixx	416	结构_控制面板快照	std::string 任务管理最近总控结果{};	否
控制面板类.ixx	456	结构_控制面板快照	std::string 任务管理界面线程最近工作项类型{};	否
控制面板类.ixx	457	结构_控制面板快照	std::string 任务管理界面线程最近调度事件类型{};	否
控制面板类.ixx	458	结构_控制面板快照	std::string 任务管理界面线程最近任务主键{};	是
控制面板类.ixx	460	结构_控制面板快照	std::string 任务管理界面线程最近任务状态{};	否
控制面板类.ixx	461	结构_控制面板快照	std::string 任务管理界面线程最近任务虚拟存在主键{};	是
控制面板类.ixx	462	结构_控制面板快照	std::string 任务管理界面线程最近需求主键{};	是
控制面板类.ixx	463	结构_控制面板快照	std::string 任务管理界面线程最近调度动作{};	否
控制面板类.ixx	464	结构_控制面板快照	std::string 任务管理界面线程最近后台worker任务主键{};	是
控制面板类.ixx	465	结构_控制面板快照	std::string 任务管理界面线程最近后台worker工作项类型{};	否
控制面板类.ixx	466	结构_控制面板快照	std::string 任务管理界面线程最近后台worker状态{};	否
控制面板类.ixx	470	结构_控制面板快照	std::string 任务管理界面线程待筹办队列头部任务主键{};	是
控制面板类.ixx	471	结构_控制面板快照	std::string 任务管理界面线程待执行队列头部任务主键{};	是
控制面板类.ixx	474	结构_控制面板快照	std::string 任务管理界面线程待筹办队列头部排序兜底键{};	是
控制面板类.ixx	475	结构_控制面板快照	std::string 任务管理界面线程待执行队列头部排序兜底键{};	是
控制面板类.ixx	496	结构_控制面板快照	std::string 缺口当前阶段{};	否
控制面板类.ixx	497	结构_控制面板快照	std::string 缺口当前状态{};	否
控制面板类.ixx	498	结构_控制面板快照	std::string 缺口当前任务标题{};	否
控制面板类.ixx	499	结构_控制面板快照	std::string 缺口当前方法标题{};	否
控制面板类.ixx	500	结构_控制面板快照	std::string 缺口最近反馈摘要{};	否
控制面板摘要线程模块.ixx	54	结构_控制面板摘要快照	std::string 运行事实最近方法主键{};	是
控制面板WebView2.cpp	114	结构_相机帧JSON	std::string 彩色RGB_Base64{};	否
控制面板WebView2.cpp	115	结构_相机帧JSON	std::string 分割RGB_Base64{};	否
控制面板WebView2.cpp	116	结构_相机帧JSON	std::string 消息{};	否
任务类.cpp	783	结构_任务树SQL行	std::string 节点主键{};	是
任务类.cpp	784	结构_任务树SQL行	std::string 父节点主键{};	是
任务类.cpp	788	结构_任务树SQL行	std::string 路径{};	否
任务类.cpp	790	结构_任务树SQL行	std::string 节点种类文本{};	否
任务类.cpp	792	结构_任务树SQL行	std::string 任务状态文本{};	否
任务类.cpp	793	结构_任务树SQL行	std::string 名称文本{};	否
任务类.cpp	794	结构_任务树SQL行	std::string 类型文本{};	否
任务类.cpp	795	结构_任务树SQL行	std::string 对应需求主键{};	是
任务类.cpp	796	结构_任务树SQL行	std::string 任务虚拟存在主键{};	是
任务类.cpp	797	结构_任务树SQL行	std::string 场景主键{};	是
任务类.cpp	798	结构_任务树SQL行	std::string 目标状态主键{};	是
任务类.cpp	799	结构_任务树SQL行	std::string 结果状态主键{};	是
任务模块.工作线程消息协议.ixx	135	结构_任务管理消息头	std::string 发出者主键{};	是
任务模块.工作线程消息协议.ixx	136	结构_任务管理消息头	std::string 任务管理任务主键{};	是
任务模块.工作线程消息协议.ixx	137	结构_任务管理消息头	std::string 任务主键{};	是
任务模块.工作线程消息协议.ixx	138	结构_任务管理消息头	std::string 父任务主键{};	是
任务模块.工作线程消息协议.ixx	139	结构_任务管理消息头	std::string 步骤主键{};	是
任务模块.工作线程消息协议.ixx	140	结构_任务管理消息头	std::string 关联场景主键{};	是
任务模块.工作线程消息协议.ixx	144	结构_任务管理消息头	std::string 执行尝试主键{};	是
