任务模块.管理工作线程.ixx:91:    std::string 最近总控结果{};
任务模块.管理线程协议.ixx:489:    std::string 最近派生需求入树处理结果{};
任务模块.筹办.ixx:1479:        std::vector<std::string> 条件缺失证据{};
任务模块.筹办.ixx:1907:        std::vector<std::string> 缺失证据{};
任务模块.筹办.ixx:2031:        std::vector<std::string> 缺失证据{};
任务类.cpp:799:        std::string 结果状态主键{};
任务模块.管理界面线程.impl.cpp:1615:        std::string 最慢阶段 = "状态提交锁等待";
任务模块.管理界面线程.impl.cpp:5879:    std::string 在途诊断{};
任务模块.管理界面线程.impl.cpp:5889:        std::string 许可占用诊断{};
任务模块.管理界面线程.impl.cpp:5906:    std::string 许可占用诊断{};
任务模块.管理界面线程.impl.cpp:6015:        std::string 状态版本诊断{};
任务模块.管理界面线程.impl.cpp:6102:        std::string 在途诊断{};
任务模块.管理界面线程.impl.cpp:6450:        std::string 状态版本诊断{};
任务模块.管理界面线程.impl.cpp:6492:        std::string 在途诊断{};
任务模块.管理界面线程.impl.cpp:6614:        std::string 状态版本诊断{};
任务模块.管理界面线程.impl.cpp:6660:        std::string 在途诊断{};
任务模块.管理界面线程.impl.cpp:6807:    std::string 不可推进诊断{};
因果类.cpp:43:    std::vector<std::string> 缺失证据{};
因果类.cpp:52:    std::vector<std::string> 缺失证据{};
因果类.cpp:2528:    std::string 主结果短语{};
外设观察报告队列.ixx:302:    std::string 失败原因{};
外设观察报告队列.ixx:466:    std::string 配置摘要{};
外设观察报告队列.ixx:467:    std::string 失败原因{};
外设观察报告队列.ixx:509:    std::string 差异摘要{};
外设观察报告队列.ixx:515:    std::string 跨帧采集摘要{};
外设观察报告队列.ixx:711:    std::string 失败原因{};
外设观察报告队列.ixx:726:    std::string 失败原因{};
外设观察报告队列.ixx:2873:    std::string 最近失败说明{};
外设观察报告队列.ixx:3553:    std::string 首个失败原因{};
外设观察报告队列.ixx:3662:    std::string 首个失败原因{};
控制面板类.ixx:222:    std::string 自我场景直接子层摘要{};
控制面板类.ixx:223:    std::string 自我场景子树类型摘要{};
控制面板类.ixx:224:    std::string 自我场景存在样例摘要{};
控制面板类.ixx:225:    std::string 自我场景复现宿主存在样例摘要{};
控制面板类.ixx:381:    std::string 控制面板摘要_最近方法主键{};
控制面板类.ixx:403:    std::string 自检报告修复门控摘要{};
控制面板类.ixx:416:    std::string 任务管理最近总控结果{};
控制面板类.ixx:500:    std::string 缺口最近反馈摘要{};
方法类.cpp:1086:        std::string 结果场景主键{};
方法类.cpp:1087:        std::string 主结果特征主键{};
方法主信息类.h:220:    std::string 结果主键{};
线程生命周期消息模块.ixx:64:    std::string 原因键{};
线程生命周期消息模块.ixx:65:    std::string 显示摘要{};
线程生命周期消息模块.ixx:96:    std::string 最近事件摘要{};
自我线程模块.ixx:86:    std::string 原因键{};
自我线程模块.ixx:163:        std::string 摘要{};
自我线程模块.ixx:175:        std::string 摘要{};
自我线程模块.ixx:184:        std::string 摘要{};
自我线程模块.ixx:193:        std::string 摘要{};
自我线程模块.ixx:206:        std::string 摘要{};
自我线程模块.ixx:215:        std::string 摘要{};
