"函数名"	"条目数"	"定义数"	"声明数"	"功能签名数"	"功能签名摘要"	"迁移归属建议"	"原始签名摘要"	"初步判定"
"比较"	"23"	"23"	"0"	"6"	"10x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=基础信息;约束=override || 5x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=语素;约束=override || 2x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=任务;约束=无显式约束 || 2x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=方法;约束=无显式约束"	"10x 专用类/对应头文件：基础信息 || 5x 专用类/对应头文件：语素 || 2x 专用类/对应头文件：任务 || 2x 专用类/对应头文件：方法"	"任务主信息类.h:80: std::int64_t 比较(const 任务主信息类* 对象, 枚举_比较字段 字段) const || 任务主信息类.h:85: std::int64_t 比较(const 任务主信息类& 对象, 枚举_比较字段 字段) const || 基础信息主信息类.h:178: std::int64_t 比较(基础信息基类* 对象, 枚举_比较字段 字段) const override || 基础信息主信息类.h:316: std::int64_t 比较(基础信息基类* 对象, 枚举_比较字段) const override || 基础信息主信息类.h:397: std::int64_t 比较(基础信息基类* 对象, 枚举_比较字段) const override"	"同名不同功能或约束，禁止直接合并"
"追加片段"	"23"	"0"	"23"	"4"	"12x 类别=写入;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=基础信息;约束=无显式约束 || 4x 类别=写入;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=基础信息;约束=static || 4x 类别=写入;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=基础信息;约束=无显式约束 || 3x 类别=写入;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=基础信息;约束=static"	"23x 专用类/对应头文件：基础信息"	"基础信息主信息类.h:989: 追加片段(std::to_string(static_cast<int>(域))) || 基础信息主信息类.h:990: 追加片段(std::to_string(static_cast<int>(种类))) || 基础信息主信息类.h:991: 追加片段(std::to_string(static_cast<int>(粒度))) || 基础信息主信息类.h:992: 追加片段(std::to_string(static_cast<int>(基准类型))) || 基础信息主信息类.h:993: 追加片段(std::to_string(static_cast<int>(时间归一方式)))"	"同名不同功能或约束，禁止直接合并"
"有效"	"21"	"21"	"0"	"8"	"9x 类别=校验;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=全局通用候选;约束=noexcept || 4x 类别=校验;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=需求;约束=noexcept || 2x 类别=校验;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=基础信息;约束=noexcept || 2x 类别=校验;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=全局通用候选;约束=inline"	"12x 全局共享函数类.ixx候选 || 4x 专用类/对应头文件：需求 || 2x 专用类/对应头文件：基础信息 || 1x 专用类/对应头文件：方法"	"基础信息主信息类.h:246: bool 有效() const noexcept || 基础信息主信息类.h:261: bool 有效() const noexcept || 基础数据类型.h:29: constexpr bool 有效() const noexcept || 基础数据类型.h:162: bool 有效() const noexcept || 基础数据类型.h:222: bool 有效() const noexcept"	"同名不同功能或约束，禁止直接合并"
"_写POD"	"14"	"0"	"14"	"1"	"14x 类别=执行;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"14x 全局共享函数类.ixx候选"	"双向链表模板_序列化.inl:32: _写POD(os, n) || 双向链表模板_序列化.inl:79: _写POD(ofs, _存档魔数) || 双向链表模板_序列化.inl:80: _写POD(ofs, ver) || 双向链表模板_序列化.inl:90: _写POD(ofs, count) || 双向链表模板_序列化.inl:99: _写POD(ofs, childCnt)"	"功能签名一致，按专用归属复核"
"lk"	"14"	"0"	"14"	"2"	"7x 类别=执行;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束 || 7x 类别=执行;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=特征值;约束=无显式约束"	"7x 全局共享函数类.ixx候选 || 7x 专用类/对应头文件：特征值"	"双向链表模板_序列化.inl:147: 读锁守卫 lk(链表锁) || 双向链表模板_序列化.inl:245: 写锁守卫 lk(链表锁) || 双向链表模板_深拷贝.inl:15: 读锁守卫 lk(链表锁) || 双向链表模板核心.h:373: 读锁守卫 lk(链表锁) || 双向链表模板核心.h:406: 读锁守卫 lk(链表锁)"	"同名不同功能或约束，禁止直接合并"
"匹配链键"	"11"	"11"	"0"	"1"	"11x 类别=比较;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=全局通用候选;约束=noexcept+override"	"11x 全局共享函数类.ixx候选"	"度量模板注册表类.ixx:199: [[nodiscard]] bool 匹配链键(std::string_view 链键) const noexcept override || 度量模板注册表类.ixx:221: [[nodiscard]] bool 匹配链键(std::string_view 链键) const noexcept override || 度量模板注册表类.ixx:243: [[nodiscard]] bool 匹配链键(std::string_view 链键) const noexcept override || 度量模板注册表类.ixx:255: [[nodiscard]] bool 匹配链键(std::string_view 链键) const noexcept override || 度量模板注册表类.ixx:267: [[nodiscard]] bool 匹配链键(std::string_view 链键) const noexcept override"	"功能签名一致，按专用归属复核"
"模板族"	"11"	"11"	"0"	"1"	"11x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=noexcept+override"	"11x 原地保留/待复核"	"度量模板注册表类.ixx:193: [[nodiscard]] 枚举_模板族 模板族() const noexcept override || 度量模板注册表类.ixx:215: [[nodiscard]] 枚举_模板族 模板族() const noexcept override || 度量模板注册表类.ixx:237: [[nodiscard]] 枚举_模板族 模板族() const noexcept override || 度量模板注册表类.ixx:249: [[nodiscard]] 枚举_模板族 模板族() const noexcept override || 度量模板注册表类.ixx:261: [[nodiscard]] 枚举_模板族 模板族() const noexcept override"	"功能签名一致，按专用归属复核"
"生成链键"	"11"	"11"	"0"	"1"	"11x 类别=生成;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=全局通用候选;约束=override"	"11x 原地保留/待复核"	"度量模板注册表类.ixx:196: [[nodiscard]] std::string 生成链键(const 结构_模板参数&) const override || 度量模板注册表类.ixx:218: [[nodiscard]] std::string 生成链键(const 结构_模板参数&) const override || 度量模板注册表类.ixx:240: [[nodiscard]] std::string 生成链键(const 结构_模板参数&) const override || 度量模板注册表类.ixx:252: [[nodiscard]] std::string 生成链键(const 结构_模板参数&) const override || 度量模板注册表类.ixx:264: [[nodiscard]] std::string 生成链键(const 结构_模板参数&) const override"	"功能签名一致，按专用归属复核"
"命中比较条件"	"10"	"10"	"0"	"6"	"2x 类别=比较;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束 || 2x 类别=比较;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=方法;约束=无显式约束 || 2x 类别=比较;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=特征值;约束=无显式约束 || 2x 类别=比较;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=需求;约束=无显式约束"	"2x 专用类/对应头文件：任务 || 2x 专用类/对应头文件：方法 || 2x 专用类/对应头文件：特征值 || 2x 专用类/对应头文件：需求"	"任务主信息类.h:107: bool 命中比较条件(const 任务主信息类* 对象, 枚举_比较字段 字段) const || 任务主信息类.h:112: bool 命中比较条件(const 任务主信息类& 对象, 枚举_比较字段 字段) const || 基础信息主信息类.h:155: virtual bool 命中比较条件(基础信息基类* 对象, 枚举_比较字段 字段) const || 方法主信息类.h:499: bool 命中比较条件(const 方法主信息类* 对象, 枚举_比较字段 字段) const || 方法主信息类.h:504: bool 命中比较条件(const 方法主信息类& 对象, 枚举_比较字段 字段) const"	"同名不同功能或约束，禁止直接合并"
"生成比较量"	"10"	"10"	"0"	"6"	"2x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=任务;约束=无显式约束 || 2x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=方法;约束=无显式约束 || 2x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征值;约束=无显式约束 || 2x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=需求;约束=无显式约束"	"2x 专用类/对应头文件：任务 || 2x 专用类/对应头文件：方法 || 2x 专用类/对应头文件：特征值 || 2x 专用类/对应头文件：需求"	"任务主信息类.h:90: std::int64_t 生成比较量(const 任务主信息类* 对象, 枚举_比较字段 字段) const || 任务主信息类.h:95: std::int64_t 生成比较量(const 任务主信息类& 对象, 枚举_比较字段 字段) const || 基础信息主信息类.h:150: virtual std::int64_t 生成比较量(基础信息基类* 对象, 枚举_比较字段 字段) const || 方法主信息类.h:474: std::int64_t 生成比较量(const 方法主信息类* 对象, 枚举_比较字段 字段) const || 方法主信息类.h:479: std::int64_t 生成比较量(const 方法主信息类& 对象, 枚举_比较字段 字段) const"	"同名不同功能或约束，禁止直接合并"
