函数名	定义位置	原始签名	参数类型	返回类型	函数体领域依赖	分类A或B	迁移候选	保留原因	模块import风险	下一步处理
D455_I64绝对差	外设线程_D455深度相机.ixx:292	std::int64_t D455_I64绝对差(std::int64_t 左, std::int64_t 右) noexcept	std::int64_t 左, std::int64_t 右	std::int64_t	D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_万分比	外设线程_D455深度相机.ixx:360	std::int64_t D455_万分比(std::uint64_t 分子, std::uint64_t 分母) noexcept	std::uint64_t 分子, std::uint64_t 分母	std::int64_t	D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_下一跨帧观察簇ID	外设线程_D455深度相机.ixx:277	std::int64_t& D455_下一跨帧观察簇ID() noexcept		std::int64_t&	D455,观察	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_从调用结果生成样本	外设线程_D455深度相机.ixx:1392	结构_D455深度相机观察样本 D455_从调用结果生成样本( std::uint64_t 序号, const 双目相机本能适配器::调用结果& 来源)	 std::uint64_t 序号, const 双目相机本能适配器::调用结果& 来源	结构_D455深度相机观察样本	结构_,空间候选,特征,D455,双目,相机,本能,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_从调用结果生成逐簇识别报告	外设线程_D455深度相机.ixx:1441	结构_外设观察报告队列项 D455_从调用结果生成逐簇识别报告( const 双目相机本能适配器::调用结果& 来源)	 const 双目相机本能适配器::调用结果& 来源	结构_外设观察报告队列项	结构_,枚举_,外设观察,观察像素簇,空间候选,逐簇识别,特征,方法,外设,D455,双目,相机,本能,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,观察像素簇,空间候选,逐簇识别；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_从迁移分割组件生成空间候选	外设线程_D455深度相机.ixx:503	双目相机本能适配器::空间候选摘要 D455_从迁移分割组件生成空间候选( const 结构_D455迁移分割组件& 组件, const 双目相机本能适配器::调用结果& 来源)	 const 结构_D455迁移分割组件& 组件, const 双目相机本能适配器::调用结果& 来源	双目相机本能适配器::空间候选摘要	结构_,空间候选,需求,D455,双目,相机,本能,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_从逐簇识别报告生成扫描变化报告	外设线程_D455深度相机.ixx:2222	结构_外设观察报告队列项 D455_从逐簇识别报告生成扫描变化报告( const 结构_外设观察报告队列项& 当前逐簇识别报告, const std::optional<结构_外设观察报告队列项>& 基准逐簇识别报告, const 结构_外设观察等待项& 等待项)	 const 结构_外设观察报告队列项& 当前逐簇识别报告, const std::optional<结构_外设观察报告队列项>& 基准逐簇识别报告, const 结构_外设观察等待项& 等待项	结构_外设观察报告队列项	结构_,外设观察,逐簇识别,扫描变化报告,外设,D455,报告,观察,扫描,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,逐簇识别,扫描变化报告；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_从逐簇识别报告生成扫描变化报告_带上下文	外设线程_D455深度相机.ixx:2143	结构_外设观察报告队列项 D455_从逐簇识别报告生成扫描变化报告_带上下文( const 结构_外设观察报告队列项& 当前逐簇识别报告, const std::optional<结构_外设观察报告队列项>& 基准逐簇识别报告, std::uint64_t 对应命令ID, std::uint64_t 匹配等待项ID, const 结构_外设观察等待项& 等待项, const std::optional<结构_目标观察约束特征组>& 目标约束, const 结构_目标观察约束可用性判定& 目标约束判定)	 const 结构_外设观察报告队列项& 当前逐簇识别报告, const std::optional<结构_外设观察报告队列项>& 基准逐簇识别报告, std::uint64_t 对应命令ID, std::uint64_t 匹配等待项ID, const 结构_外设观察等待项& 等待项, const std::optional<结构_目标观察约束特征组>& 目标约束, const 结构_目标观察约束可用性判定& 目标约束判定	结构_外设观察报告队列项	结构_,枚举_,外设观察,观察像素簇,逐簇识别,稳定子集,扫描变化报告,存在,场景,特征,方法,外设,D455,报告,观察,扫描	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,观察像素簇,逐簇识别,稳定子集,扫描变化报告；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_从逐簇识别报告生成稳定观察子集报告	外设线程_D455深度相机.ixx:1632	结构_外设观察报告队列项 D455_从逐簇识别报告生成稳定观察子集报告( const 结构_外设观察报告队列项& 原始报告)	 const 结构_外设观察报告队列项& 原始报告	结构_外设观察报告队列项	结构_,枚举_,外设观察,观察像素簇,空间候选,逐簇识别,稳定子集,方法,外设,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,观察像素簇,空间候选,逐簇识别,稳定子集；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_从逐簇识别报告生成跟踪报告	外设线程_D455深度相机.ixx:2323	结构_外设观察报告队列项 D455_从逐簇识别报告生成跟踪报告( const 结构_外设观察报告队列项& 逐簇识别报告, const 结构_外设观察等待项& 等待项)	 const 结构_外设观察报告队列项& 逐簇识别报告, const 结构_外设观察等待项& 等待项	结构_外设观察报告队列项	结构_,枚举_,外设观察,观察像素簇,空间候选,逐簇识别,稳定子集,跟踪报告,特征,方法,外设,D455,报告,观察,跟踪,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,观察像素簇,空间候选,逐簇识别,稳定子集,跟踪报告；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
