"live"	"函数名"	"未限定名"	"定义位置"	"call_like_count"	"原始签名"	"功能"	"签名风险标记"	"project_item"	"命中位置"
"present"	"默认动作ID列表"	"默认动作ID列表"	"本能动作管理类.ixx:42"	"0"	"inline std::vector<枚举_本能方法ID> 默认动作ID列表()"	"按函数名执行对应处理。"	""	"ClCompile"	""
"present"	"查询ID"	"查询ID"	"本能动作管理类.ixx:649"	"0"	"枚举_本能动作ID 查询ID(const std::string& 函数名称) const"	"按函数名执行对应处理。"	""	"ClCompile"	""
"present"	"~动作线程类"	"~动作线程类"	"动作线程类.ixx:117"	"0"	"~动作线程类()"	"释放或收束对象资源。"	"ctor_dtor"	"ClCompile"	""
"present"	"摘要语义相同"	"摘要语义相同"	"动作验证报告类.h:164"	"0"	"inline bool 摘要语义相同( const 结构_动作验证报告摘要& 左, const 结构_动作验证报告摘要& 右)"	"按函数名执行对应处理。"	""	"ClInclude"	""
"present"	"深度_at"	"深度_at"	"基础数据类型.h:1123"	"0"	"[[nodiscard]] inline double 深度_at(int u, int v) const noexcept"	"按函数名执行对应处理。"	""	"未在vcxproj登记"	""
"present"	"颜色_at"	"颜色_at"	"基础数据类型.h:1126"	"0"	"[[nodiscard]] inline Color 颜色_at(int u, int v) const noexcept"	"按函数名执行对应处理。"	""	"未在vcxproj登记"	""
"present"	"获取"	"获取"	"基础数据类型.h:142"	"0"	"T节点* 获取() const noexcept"	"读取并返回指定对象、状态或运行材料。"	""	"未在vcxproj登记"	""
"present"	"operator T节点*"	"operator T节点*"	"基础数据类型.h:146"	"0"	"operator T节点* () const noexcept"	"按函数名执行对应处理。"	"operator"	"未在vcxproj登记"	""
"present"	"特征快照有值"	"特征快照有值"	"基础数据类型.h:250"	"0"	"inline bool 特征快照有值(const 特征快照值& v) noexcept"	"按函数名执行对应处理。"	""	"未在vcxproj登记"	""
"present"	"时间差_微秒"	"时间差_微秒"	"基础数据类型.h:544"	"0"	"static 时间戳 时间差_微秒(时间戳 t0, 时间戳 t1) noexcept"	"计算时间差（微秒，返回无符号；如果担心顺序，提供一个有符号版本更安全）"	""	"未在vcxproj登记"	""
"present"	"编码I64为U64"	"编码I64为U64"	"基础数据类型.h:650"	"0"	"inline constexpr std::uint64_t 编码I64为U64(const I64 值) noexcept"	"按函数名执行对应处理。"	""	"未在vcxproj登记"	""
"present"	"解码U64为I64"	"解码U64为I64"	"基础数据类型.h:656"	"0"	"inline constexpr I64 解码U64为I64(const std::uint64_t 值) noexcept"	"按函数名执行对应处理。"	""	"未在vcxproj登记"	""
"present"	"operator+"	"operator+"	"基础数据类型.h:843"	"0"	"constexpr Vector3D operator+(const Vector3D& other) const"	"===== 推荐添加：向量加法/减法 ====="	"operator"	"未在vcxproj登记"	""
"present"	"operator*="	"operator*="	"基础数据类型.h:855"	"0"	"Vector3D& operator*=(double scalar)"	"===== 推荐添加：复合赋值运算符 ====="	"operator"	"未在vcxproj登记"	""
"present"	"operator/="	"operator/="	"基础数据类型.h:861"	"0"	"Vector3D& operator/=(double scalar)"	"按函数名执行对应处理。"	"operator"	"未在vcxproj登记"	""
"present"	"operator+="	"operator+="	"基础数据类型.h:869"	"0"	"Vector3D& operator+=(const Vector3D& other)"	"按函数名执行对应处理。"	"operator"	"未在vcxproj登记"	""
"present"	"operator-="	"operator-="	"基础数据类型.h:875"	"0"	"Vector3D& operator-=(const Vector3D& other)"	"按函数名执行对应处理。"	"operator"	"未在vcxproj登记"	""
"present"	"设置当前值"	"设置当前值"	"基础信息主信息类.h:372"	"0"	"void 设置当前值(const 特征值& v)"	"设置对象字段、状态或运行参数。"	""	"ClInclude"	""
"present"	"私有_窗口过程"	"私有_窗口过程"	"控制面板WebView2.cpp:1641"	"0"	"LRESULT CALLBACK 私有_窗口过程(HWND 窗口, UINT 消息, WPARAM wParam, LPARAM lParam)"	"服务所在模块的内部辅助流程。"	"entry_callback_export"	"ClCompile"	""
"present"	"私有_窗口线程主体"	"私有_窗口线程主体"	"控制面板WebView2.cpp:2002"	"0"	"void 私有_窗口线程主体(std::promise<bool> 启动结果) noexcept"	"服务所在模块的内部辅助流程。"	""	"ClCompile"	""
