live	函数名	未限定名	定义位置	call_like_count	all_occurrences	原始签名	功能签名	前几个命中
present	私有_消费任务调度队列_按请求	私有_消费任务调度队列_按请求	任务模块.管理界面线程.impl.cpp:6623	1	1	void 私有_消费任务调度队列_按请求( 自我类& 自我对象, 任务管理线程协议::结构_任务治理请求& 请求, 任务管理线程协议::结构_任务界面承接结果& 承接, 存在节点类* 任务存在, 时间戳 now, std::size_t 本轮最大消费数, std::uint64_t& 派发工作项数, std::uint64_t& 收到工作结果数) noexc	类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=无显式约束	任务模块.管理界面线程.impl.cpp:6592:  }     return true; }  // 功能：服务所在模块的内部辅助流程。 void 私有_消费任务调度队列_按请求(     自我类& 自我对象,     任务管理线程协议::结构_任务治理请求& 请求,     任务管理线程协议::结构_任务界面承接结果& 承接,
present	设置当前值	设置当前值	基础信息主信息类.h:446	1	1	void 设置当前值(const 特征值& v)	类别=写入;输入=有自定义类型;输出=void;副作用=写项目结构;领域=基础信息;约束=无显式约束	基础信息主信息类.h:372:& 区间->有效(); }      // 功能：设置对象字段、状态或运行参数。     void 设置当前值(const 特征值& v) { 当前值 = v; }      // 功能：比较当前值、目标值或历史基准。     std::int64_t 比较(基础信息基类
present	颜色_at	颜色_at	基础数据类型.h:1285	1	1	[[nodiscard]] inline Color 颜色_at(int u, int v) const noexcept	类别=执行;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=noexcept+inline	基础数据类型.h:1126: // 功能：按函数名执行对应处理。     [[nodiscard]] inline Color 颜色_at(int u, int v) const noexcept {         return 有效颜色() ? 颜色[索引(u, v)] : Color{ 255
present	私有_确保当前场景特征值路径宿主_线程侧	私有_确保当前场景特征值路径宿主_线程侧	自我线程模块.impl.cpp:10487	1	1	存在节点类* 私有_确保当前场景特征值路径宿主_线程侧( 自我类& 自我对象, const 需求节点* 来源需求, const char* 路径名, const bool 是OR组宿主) noexcept	类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept	自我线程模块.impl.cpp:9928:动态特征词(特征名)); }  // 功能：确保目标结构、状态或前置条件存在并可用。 存在节点类* 私有_确保当前场景特征值路径宿主_线程侧(     自我类& 自我对象,     const 需求节点* 来源需求,     const char* 路径名,     const bool 是OR组宿主
present	私有_创建当前场景特征值逻辑组织子需求_线程侧	私有_创建当前场景特征值逻辑组织子需求_线程侧	自我线程模块.impl.cpp:10525	1	1	需求节点* 私有_创建当前场景特征值逻辑组织子需求_线程侧( 自我类& 自我对象, 需求节点* 父需求, 存在节点类* 目标宿主, const 需求类::枚举_需求获取途径 获取途径, const bool 激活路径, const std::string& 来源因果主键, const 时间戳 now) noexcept	类别=构造;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept	自我线程模块.impl.cpp:9966:  名称词,         类型词); }  // 功能：创建并返回或登记对应对象。 需求节点* 私有_创建当前场景特征值逻辑组织子需求_线程侧(     自我类& 自我对象,     需求节点* 父需求,     存在节点类* 目标宿主,     const 需求类::枚举_需求获取途径 获取途径,
present	私有_落线程状态变化到自我内部世界	私有_落线程状态变化到自我内部世界	自我线程模块.impl.cpp:13242	1	1	bool 私有_落线程状态变化到自我内部世界( const 自我线程消息协议::结构_治理消息& 消息) noexcept	类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept	自我线程模块.impl.cpp:12638:化);     return 状态节点; }  // 功能：服务所在模块的内部辅助流程。 bool 私有_落线程状态变化到自我内部世界(     const 自我线程消息协议::结构_治理消息& 消息) noexcept {     const auto* 消息段 = 自我线程消息协议::获取线
present	私有_切换线程状态并上报_	私有_切换线程状态并上报_	自我线程模块.impl.cpp:14510	1	1	bool 私有_切换线程状态并上报_( const 结构_线程状态切换上报参数& 参数) noexcept	类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept	自我线程模块.impl.cpp:13884:urn 线程存在 != nullptr; }  // 功能：服务所在模块的内部辅助流程。 bool 私有_切换线程状态并上报_(     const 结构_线程状态切换上报参数& 参数) noexcept {     const auto now = 参数.发生时间 == 0 ? 结构体
present	私有_确保安全风险树I64比较_线程侧	私有_确保安全风险树I64比较_线程侧	自我线程模块.impl.cpp:6390	1	1	二次特征节点类* 私有_确保安全风险树I64比较_线程侧( 自我类& 自我对象, 基础信息节点类* 主体, const char* 特征名, I64 当前值, I64 目标值, 时间戳 now) noexcept	类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept	自我线程模块.impl.cpp:6167:态) noexcept;  // 功能：确保目标结构、状态或前置条件存在并可用。 二次特征节点类* 私有_确保安全风险树I64比较_线程侧(     自我类& 自我对象,     基础信息节点类* 主体,     const char* 特征名,     I64 当前值,     I64 目标值,
present	私有_追加安全风险树缺口消息_线程侧	私有_追加安全风险树缺口消息_线程侧	自我线程模块.impl.cpp:6936	1	1	void 私有_追加安全风险树缺口消息_线程侧( 结构_安全因果风险树线程维护结果& 结果, const 任务节点* 任务头, const 需求节点* 来源需求, 因果节点类* 来源因果, 基础信息节点类* 目标主体, const 语素入口节点类* 目标特征, 状态节点类* 当前状态, 状态节点类* 目标状态,	类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=自我;约束=无显式约束	自我线程模块.impl.cpp:6711:(消息);     return 消息; }  // 功能：服务所在模块的内部辅助流程。 void 私有_追加安全风险树缺口消息_线程侧(     结构_安全因果风险树线程维护结果& 结果,     const 任务节点* 任务头,     const 需求节点* 来源需求,     因果节点类*
present	私有_按需求创建任务头_任务管理新链	私有_按需求创建任务头_任务管理新链	自我线程模块.impl.cpp:8289	1	1	任务节点* 私有_按需求创建任务头_任务管理新链( 自我类& 自我对象, 需求节点* 需求节点, 时间戳 now) noexcept	类别=构造;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept	自我线程模块.impl.cpp:7967:e,         nullptr); }  // 功能：创建并返回或登记对应对象。 任务节点* 私有_按需求创建任务头_任务管理新链(     自我类& 自我对象,     需求节点* 需求节点,     时间戳 now) noexcept {     return 私有_按需求创建任务头_任
present	私有_按需求创建任务头_任务管理提交链	私有_按需求创建任务头_任务管理提交链	自我线程模块.impl.cpp:9033	1	1	任务节点* 私有_按需求创建任务头_任务管理提交链( 自我类& 自我对象, 需求节点* 需求节点, 时间戳 now) noexcept	类别=构造;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept	自我线程模块.impl.cpp:8707:);     return 已提交治理; }  // 功能：创建并返回或登记对应对象。 任务节点* 私有_按需求创建任务头_任务管理提交链(     自我类& 自我对象,     需求节点* 需求节点,     时间戳 now) noexcept {     return 私有_按需求创建任务头_任
present	私有_刷新需求列表并确保需求相关任务_任务管理提交链	私有_刷新需求列表并确保需求相关任务_任务管理提交链	自我线程模块.impl.cpp:9045	1	1	void 私有_刷新需求列表并确保需求相关任务_任务管理提交链( 自我类& 自我对象, std::vector<自我线程类::结构_需求列表项>* 服务优先需求列表, std::vector<自我线程类::结构_需求列表项>* 安全优先需求列表, 时间戳 now)	类别=提交;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=自我;约束=无显式约束	自我线程模块.impl.cpp:8719:点,         now); }  // 功能：提交事实、动态、任务状态或运行回执。 void 私有_刷新需求列表并确保需求相关任务_任务管理提交链(     自我类& 自我对象,     std::vector<自我线程类::结构_需求列表项>* 服务优先需求列表,     std::vector<自我线程
present	世界树类::升格实例稳态为抽象区间	升格实例稳态为抽象区间	世界树类.cpp:1401	2	2	抽象特征节点类* 世界树类::升格实例稳态为抽象区间(特征节点类* 实例特征)	类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束	世界树类.cpp:1758:命中抽象特征(实例特征); }  // 功能：按函数名执行对应处理。 抽象特征节点类* 世界树类::升格实例稳态为抽象区间(特征节点类* 实例特征) {     return 特征服务_.升格当前稳态为抽象区间(实例特征); }  // 功能：按函数名执行对应处理。 bool 世界树 | 世界树类.h:150: 抽象特征节点类* 解析实例特征命中抽象特征(特征节点类* 实例特征);     抽象特征节点类* 升格实例稳态为抽象区间(特征节点类* 实例特征);     bool 求值组合抽象特征(         基础信息节点类* 宿主,         抽象特征节点类* 组合抽象特征,
