"函数名"	"定义位置"	"固定字符串出现次数"	"清单条目数"	"原始签名"	"功能备注"	"功能签名"	"迁移归属建议"	"风险标记"
"D455_相机实现::关闭"	"D455相机类.cpp:875"	"1"	"1"	"void D455_相机实现::关闭()"	"按函数名执行对应处理。"	"类别=执行;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=外设;约束=无显式约束"	"专用类/对应头文件：外设"	"待复核"
"D455_相机实现::应用配置"	"D455相机类.cpp:893"	"1"	"1"	"bool D455_相机实现::应用配置(const 配置项& 新配置)"	"按函数名执行对应处理。"	"类别=执行;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=无显式约束"	"专用类/对应头文件：外设"	"待复核"
"D455_相机实现::打开"	"D455相机类.cpp:870"	"1"	"1"	"bool D455_相机实现::打开()"	"按函数名执行对应处理。"	"类别=执行;输入=无自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=无显式约束"	"专用类/对应头文件：外设"	"待复核"
"D455_相机实现::获取最近轮廓观测"	"D455相机类.cpp:903"	"1"	"1"	"const std::vector<结构体_轮廓观测>& D455_相机实现::获取最近轮廓观测() const"	"读取并返回指定对象、状态或运行材料。"	"类别=读取;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=无显式约束"	"专用类/对应头文件：外设"	"待复核"
"D455_相机实现::获取配置"	"D455相机类.cpp:887"	"1"	"1"	"const D455_相机实现::配置项& D455_相机实现::获取配置() const"	"读取并返回指定对象、状态或运行材料。"	"类别=读取;输入=无自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=无显式约束"	"专用类/对应头文件：外设"	"待复核"
"D455_相机实现::采集一帧并提取轮廓"	"D455相机类.cpp:898"	"1"	"1"	"bool D455_相机实现::采集一帧并提取轮廓(结构体_原始场景帧& 输出, std::vector<结构体_轮廓观测>& out轮廓)"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=无显式约束"	"专用类/对应头文件：外设"	"待复核"
"~动作线程类"	"动作线程类.ixx:139"	"1"	"1"	"~动作线程类()"	"释放或收束对象资源。"	"类别=清理;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"原地保留/待复核"	"待复核"
"~实现"	"D455相机类.cpp:44"	"1"	"1"	"~实现()"	"释放或收束对象资源。"	"类别=清理;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=外设;约束=无显式约束"	"专用类/对应头文件：外设"	"待复核"
"~私有_自我线程守卫"	"鱼巢.cpp:1089"	"1"	"1"	"~私有_自我线程守卫()"	"释放或收束对象资源。"	"类别=清理;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"全局共享函数类.ixx候选"	"待复核"
"~结构_COM初始化"	"数据库ADO模块.cpp:140"	"1"	"1"	"~结构_COM初始化()"	"释放或收束对象资源。"	"类别=构造;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"原地保留/待复核"	"待复核"
"~结构_抢占任务管理成功结果守卫"	"自我线程模块.impl.cpp:16706"	"1"	"1"	"~结构_抢占任务管理成功结果守卫() noexcept"	"释放或收束对象资源。"	"类别=清理;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=noexcept"	"专用类/对应头文件：自我"	"待复核"
"~结构_抢占任务管理派生需求守卫"	"自我线程模块.impl.cpp:16804"	"1"	"1"	"~结构_抢占任务管理派生需求守卫() noexcept"	"释放或收束对象资源。"	"类别=清理;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=noexcept"	"专用类/对应头文件：自我"	"待复核"
"~结构_抢占执行前许可审批守卫"	"自我线程模块.impl.cpp:16613"	"1"	"1"	"~结构_抢占执行前许可审批守卫() noexcept"	"释放或收束对象资源。"	"类别=清理;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=noexcept"	"专用类/对应头文件：自我"	"待复核"
"~结构_抢占观察事实承接落账守卫"	"自我线程模块.impl.cpp:16902"	"1"	"1"	"~结构_抢占观察事实承接落账守卫() noexcept"	"释放或收束对象资源。"	"类别=清理;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=自我;约束=noexcept"	"专用类/对应头文件：自我"	"待复核"
"~结构_控制台自动刷新守卫"	"鱼巢.cpp:1550"	"1"	"1"	"~结构_控制台自动刷新守卫()"	"释放或收束对象资源。"	"类别=清理;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"原地保留/待复核"	"待复核"
"~链表模板"	"双向链表模板核心.h:166"	"1"	"1"	"~链表模板()"	"释放或收束对象资源。"	"类别=清理;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"全局共享函数类.ixx候选"	"待复核"
"世界树类::世界树类"	"世界树类.cpp:844"	"1"	"1"	"世界树类::世界树类() : 特征服务_(&基础信息链_) , 存在服务_(&基础信息链_) , 场景服务_(&基础信息链_) , 二次特征服务_(&基础信息链_) , 二次特征生成服务_(std::make_unique<二次特征生成模块>(this)) , 状态服务_(&基础信息链_) , 动态服务_(&基础信息链_) , 因果服务_(&基础信息链_)"	"初始化对象实例。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::世界根"	"世界树类.cpp:944"	"1"	"1"	"基础信息节点类* 世界树类::世界根() const noexcept"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=noexcept"	"专用类/对应头文件：世界"	"待复核"
"世界树类::写入存在场景绝对坐标_由参考存在相对坐标"	"世界树类.cpp:2064"	"1"	"1"	"bool 世界树类::写入存在场景绝对坐标_由参考存在相对坐标( 存在节点类* 目标存在, const 存在节点类* 参考存在, const Vector3D& 相对坐标_mm, 时间戳 now, I64 置信度)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
